# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# Notes:
# - spatial_coordinates of [2,10,20,50,80] denotes a rectangle (shape_id=2) of size 50x80 placed at (10,20)
# - temporal coordinate of [1.349,2.741] denotes a temporal segment from time 1.346 sec. to 2.741 sec.
# - temporal coordinate of [4.633] denotes a still video frame at 4.633 sec.
# - metadata of {""1"":""3""} indicates attribute with id "1" set to an attribute option with id "3"
# SHAPE_ID = {"POINT":1,"RECT":2,"CIRCLE":3,"ELLIPSE":4,"LINE":5,"POLYLINE":6,"POLYGON":7}
# FLAG_ID = {"RESERVED_FOR_FUTURE":1}
# ATTRIBUTE = {}
# CSV_HEADER = metadata_id,file_list,flags,temporal_coordinates,spatial_coordinates,metadata
"1_LrDQ5Dr8","[""20190522_194812_580.png""]",0,"[]","[2,7.574,657.391,56.045,21.206]","{}"
"1_tXNauoBk","[""20190522_194812_580.png""]",0,"[]","[2,202.973,639.215,57.56,27.265]","{}"
"1_SCZVK9sF","[""20190522_194812_580.png""]",0,"[]","[2,283.254,604.376,43.927,18.177]","{}"
"1_5z4lcFcP","[""20190522_194812_580.png""]",0,"[]","[2,299.916,645.273,48.471,22.721]","{}"
"1_Hr5epseF","[""20190522_194812_580.png""]",0,"[]","[2,346.872,645.273,72.707,34.839]","{}"
"1_EdTuzTqi","[""20190522_194812_580.png""]",0,"[]","[2,387.77,614.979,54.53,22.721]","{}"
"1_eFakOuAY","[""20190522_194812_580.png""]",0,"[]","[2,501.374,580.14,42.413,21.206]","{}"
"1_LBgXC3Ip","[""20190522_194812_580.png""]",0,"[]","[2,687.686,604.376,33.324,19.691]","{}"
"1_gXXiCtkm","[""20190522_194812_580.png""]",0,"[]","[2,683.142,564.993,39.383,19.691]","{}"
"1_X06klfik","[""20190522_194812_580.png""]",0,"[]","[2,749.79,530.154,34.838,18.177]","{}"
"1_aXZi2Bno","[""20190522_194812_580.png""]",0,"[]","[2,834.614,542.272,34.839,21.206]","{}"
"1_v9WKFS0j","[""20190522_194812_580.png""]",0,"[]","[2,857.335,521.066,30.295,18.177]","{}"
"1_aKlelVvi","[""20190522_194812_580.png""]",0,"[]","[2,863.394,498.345,30.295,19.691]","{}"
"1_1RK5lqXT","[""20190522_194812_580.png""]",0,"[]","[2,889.144,543.787,33.324,19.691]","{}"
"1_pQOFSj9J","[""20190522_194812_580.png""]",0,"[]","[2,983.058,521.066,27.265,16.662]","{}"
"1_r9FeynRM","[""20190522_194812_580.png""]",0,"[]","[2,1158.766,481.683,28.78,16.662]","{}"
"1_G6SoD2X3","[""20190522_194812_580.png""]",0,"[]","[2,1119.383,439.271,25.75,18.176]","{}"
"1_4e4AsJM0","[""20190522_194812_580.png""]",0,"[]","[2,1163.31,442.3,22.721,18.177]","{}"
"1_fUVEbsT3","[""20190522_194812_580.png""]",0,"[]","[2,1217.84,434.727,25.75,19.691]","{}"
"1_wuIDIHPR","[""20190522_194812_580.png""]",0,"[]","[2,1293.576,436.241,19.692,15.147]","{}"
"1_rr0cp5np","[""20190522_194812_580.png""]",0,"[]","[2,1286.003,424.123,21.206,12.118]","{}"
"1_SPdezo5F","[""20190522_194812_580.png""]",0,"[]","[2,1279.943,408.976,25.751,13.633]","{}"
"1_HI0Wy1Ox","[""20190522_194812_580.png""]",0,"[]","[2,1314.783,352.931,16.662,13.633]","{}"
"1_vk0ex2aU","[""20190522_194812_580.png""]",0,"[]","[2,1351.136,295.372,13.633,12.117]","{}"
"1_61XVCnxK","[""20190522_194812_580.png""]",0,"[]","[2,1373.857,287.798,13.632,12.118]","{}"
"1_ZcUi5b7V","[""20190522_194812_580.png""]",0,"[]","[2,1358.71,283.254,12.117,6.059]","{}"
"1_HhyKJJuC","[""20190522_194812_580.png""]",0,"[]","[2,1370.827,254.474,12.118,10.603]","{}"
"1_DSiSLnOX","[""20190522_194812_580.png""]",0,"[]","[2,1381.43,233.268,12.118,10.603]","{}"
"1_3r6Xsiea","[""20190522_194812_580.png""]",0,"[]","[2,1398.093,224.18,12.117,10.603]","{}"
"1_r3thjQwc","[""20190522_194812_580.png""]",0,"[]","[2,1399.607,202.973,10.603,13.633]","{}"
"1_EA0ZkjYd","[""20190522_194812_580.png""]",0,"[]","[2,1385.975,209.032,12.118,13.633]","{}"
"1_WwOHwNlT","[""20190522_194812_580.png""]",0,"[]","[2,1357.195,378.682,21.206,15.147]","{}"
"1_60a73ObI","[""20190522_194812_580.png""]",0,"[]","[2,1369.313,358.99,16.662,12.118]","{}"
"1_M28DwrDB","[""20190522_194812_580.png""]",0,"[]","[2,1399.607,360.505,18.177,10.603]","{}"
"1_rXxWxNZe","[""20190522_194812_580.png""]",0,"[]","[2,1399.607,374.137,18.177,12.118]","{}"
"1_d7p4O6Eh","[""20190522_194812_580.png""]",0,"[]","[2,1434.446,369.593,21.206,10.603]","{}"
"1_XybHXt2L","[""20190522_194812_580.png""]",0,"[]","[2,1470.799,346.872,21.207,12.118]","{}"
"1_aSXqsAuG","[""20190522_194812_580.png""]",0,"[]","[2,1458.682,337.784,16.662,12.118]","{}"
"1_WuBGrY6X","[""20190522_194812_580.png""]",0,"[]","[2,1475.344,301.431,24.235,18.176]","{}"
"1_SpKNFm7T","[""20190522_194812_580.png""]",0,"[]","[2,1476.858,284.769,18.177,12.117]","{}"
"1_dEwfn2zS","[""20190522_194812_580.png""]",0,"[]","[2,1498.065,283.254,18.176,10.603]","{}"
"1_DrxeHXNW","[""20190522_194812_580.png""]",0,"[]","[2,1510.182,310.519,15.148,16.662]","{}"
"1_ceuhPNXN","[""20190522_194812_580.png""]",0,"[]","[2,1537.447,272.651,19.692,18.176]","{}"
"1_XYk1pjo7","[""20190522_194812_580.png""]",0,"[]","[2,1513.212,259.018,18.176,13.633]","{}"
